FONTE,    PRODUÇÃO  ,    IMPORTAÇÃO  ,ANO
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2997,2014
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1133,2014
 ALCATRÃO ,0,0,2014
 ENERGIA SECUNDÁRIA TOTAL ,0,30142,2014
 TOTAL  ,273532,81525,2014
 PETRÓLEO ,104762,20373,2013
 GÁS NATURAL ,27969,14926,2013
 CARVÃO VAPOR ,3298,4206,2013
 CARVÃO METALÚRGICO ,0,7838,2013
 URÂNIO U3O8 ,2375,601,2013
 ENERGIA HIDRÁULICA ,33625,0,2013
 LENHA ,24788,0,2013
 PRODUTOS DA CANA ,49306,0,2013
 OUTRAS FONTES PRIMÁRIAS ,12773,0,2013
 ENERGIA PRIMÁRIA TOTAL ,258896,47944,2013
 BIODIESEL ,0,0,2013
 ÓLEO DIESEL ,0,8501,2013
 ÓLEO COMBUSTÍVEL ,0,92,2013
 GASOLINA ,0,1744,2013
 GLP ,0,2060,2013
 NAFTA ,0,5261,2013
 QUEROSENE ,0,1467,2013
 GÁS DE CIDADE E DE COQUERIA ,0,0,2013
 COQUE DE CARVÃO MINERAL ,0,1308,2013
 URÂNIO CONTIDO NO UO2,0,3334,2013
 ELETRICIDADE,0,3469,2013
 CARVÃO VEGETAL ,0,0,2013
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,68,2013
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2984,2013
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1063,2013
 ALCATRÃO ,0,0,2013
 ENERGIA SECUNDÁRIA TOTAL ,0,31350,2013
 TOTAL  ,258896,79294,2013
 PETRÓLEO ,107258,17855,2012
 GÁS NATURAL ,25574,11602,2012
 CARVÃO VAPOR ,2517,3313,2012
 CARVÃO METALÚRGICO ,0,7841,2012
 URÂNIO U3O8 ,3881,3854,2012
 ENERGIA HIDRÁULICA ,35719,0,2012
 LENHA ,25683,0,2012
 PRODUTOS DA CANA ,45117,0,2012
 OUTRAS FONTES PRIMÁRIAS ,11706,0,2012
 ENERGIA PRIMÁRIA TOTAL ,257455,44465,2012
 BIODIESEL ,0,0,2012
 ÓLEO DIESEL ,0,8241,2012
 ÓLEO COMBUSTÍVEL ,0,217,2012
 GASOLINA ,0,2915,2012
 GLP ,0,1744,2012
 NAFTA ,0,5380,2012
 QUEROSENE ,0,1538,2012
 GÁS DE CIDADE E DE COQUERIA ,0,0,2012
