FONTE,PRODUÇÃO,IMPORTAÇÃO,ANO
 CARVÃO VEGETAL ,0,0,2016
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,434.4221462520044,2016
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1605.13392,2016
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1042.0005079999999,2016
 ALCATRÃO ,0,0,2016
 ENERGIA SECUNDÁRIA TOTAL ,0,29283.920459284225,2016
 TOTAL  ,295862.40936532425,64694.485606902716,2016
CONTA,PRODUÇÃO,IMPORTAÇÃO,2015
 PETRÓLEO ,126127.01305,15376.681540170594,2015
 GÁS NATURAL ,34871.16852,16198.116,2015
 CARVÃO VAPOR ,2458.69350475092,5637.648509999999,2015
 CARVÃO METALÚRGICO ,0,7625.29448,2015
 URÂNIO U3O8 ,512.4478650999998,2159.2121893904996,2015
 ENERGIA HIDRÁULICA ,30937.88150471328,0,2015
 LENHA ,25074.96635509094,0,2015
 PRODUTOS DA CANA ,50400.05143125117,0,2015
 OUTRAS FONTES PRIMÁRIAS ,16743.3384784058,0,2015
 ENERGIA PRIMÁRIA TOTAL ,287125.5607093121,46996.952719561086,2015
 BIODIESEL ,0,0,2015
 ÓLEO DIESEL ,0,5885.2048,2015
 ÓLEO COMBUSTÍVEL ,0,339.46799699999997,2015
 GASOLINA ,0,2259.62352,2015
 GLP ,0,1949.8054809999999,2015
 NAFTA ,0,6171.857055,2015
 QUEROSENE ,0,1129.388544,2015
 GÁS DE CIDADE E DE COQUERIA ,0,0,2015
 COQUE DE CARVÃO MINERAL ,0,1583.55,2015
 URÂNIO CONTIDO NO UO2,0,2729.2121698584,2015
 ELETRICIDADE,0,2979.1865138643498,2015
 CARVÃO VEGETAL ,0,0,2015
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,431.888706,2015
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2349.5398784,2015
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1160.0191618191632,2015
 ALCATRÃO ,0,0,2015
